country,percent_sand,percent_water,prefix,ocean,ocean_short,tonnes_plastic_per_day,kg_per_person_per_day,g_per_person_per_year,kg_per_person_per_year,bottles_per_person_per_year,km_per_year,walking_time_hours,mismanaged_plastic_waste_2019_kg_minute,anim_interval_seconds,social_type_1,social_post_id_1,social_post_url_1
Pakistan,36.1109048,63.8890952,In,Indian,IND,2331.44,0.09027726233,32951.20075,33,3295.120075,660,132,914.2,6.56,,,
Yemen,30.6507836,69.3492164,In,Indian,IND,935.74,0.07662695867,27968.83992,28,2796.883992,560,112,321.9,18.64,,,
Somalia,18.633936,81.366064,In,Indian,IND,535.8,0.04658484032,17003.46672,17,1700.346672,340,68,193.2,31.06,,,
Maldives,87.848558,12.151442,In the,Indian,IND,98.1,0.2196213954,80161.80931,80.2,8016.180931,"1,604",321,59.9,100.21,,,
Saudi Arabia,6.2676772,93.7323228,In,Indian,IND,88.23,0.01566919304,5719.255459,5.7,571.9255459,114,23,39.1,153.45,,,
Turkey,15.64304,84.35696,In,Atlantic/Mediterran.,ATL/MED,1748.18,0.03910760017,14274.27406,14.3,1427.427406,286,57,924.5,6.49,,,
Spain,2.20668,97.79332,In,Atlantic/Mediterran.,ATL/MED,143.54,0.005516700108,2013.595539,2,201.3595539,40,8,87.2,68.78,instagram,Bxr-pf7C5a2,https://www.instagram.com/p/Bxr-pf7C5a2/
Greece,1.592,98.408,In,Mediterran.,MED,45,0.003980000189,1452.700069,1.5,145.2700069,30,6,27.1,221.64,instagram,B4aK2ZBpIY6,https://www.instagram.com/p/B4aK2ZBpIY6/
Italy,1.06148,98.93852,In,Mediterran.,MED,106.6,0.002653700021,968.6005077,1,96.86005077,20,4,62.3,96.26,,,
Israel,3.1192636,96.8807364,In,Mediterran./Red Sea,MED/RED,64.68,7.8E-03,2846.328025,2.8,284.6328025,56,11,36.2,165.92,twitter,1113787584742871040,https://twitter.com/Ecoocean/status/1113787584742871040
Egypt,48.721546,51.278454,In,Mediterran./Red Sea,MED/RED,3978.69,0.121803865,44458.41072,44.5,4445.841072,890,178,1839.8,3.26,,,
